location,total_cases,total_deaths,total_recovered,active_cases,date
North Macedonia,157627,5503,150506,1618,08-08-2021
Afghanistan,150778,6936,103359,40483,08-08-2021
Norway,140704,804,88952,50948,08-08-2021
Latvia,139421,2559,135875,987,08-08-2021
Uzbekistan,136635,928,130111,5596,08-08-2021
Estonia,135076,1277,129614,4185,08-08-2021
Albania,133912,2459,130418,1035,08-08-2021
Mozambique,131799,1600,102389,27810,08-08-2021
Botswana,122574,1704,104731,16139,08-08-2021
Namibia,121043,3191,99191,18661,08-08-2021
Zimbabwe,115890,3826,87416,24648,08-08-2021
Finland,112207,984,46000,65223,08-08-2021
Ghana,106750,859,99165,6726,08-08-2021
Cyprus,105593,438,80178,24977,08-08-2021
Montenegro,103722,1635,99485,2602,08-08-2021
Uganda,95723,2793,90225,2705,08-08-2021
El Salvador,88371,2717,76952,8702,08-08-2021
Cameroon,82064,1334,80433,297,08-08-2021
Cambodia,81891,1562,75495,4834,08-08-2021
Maldives,78356,222,75545,2589,08-08-2021
Rwanda,75643,881,44976,29786,08-08-2021
Luxembourg,74262,824,72536,902,08-08-2021
Senegal,67579,1482,50533,15564,08-08-2021
Singapore,65764,42,63658,2064,08-08-2021
Malawi,55920,1828,41155,12937,08-08-2021
Jamaica,54859,1222,47231,6406,08-08-2021
DRC,51889,1048,30189,20652,08-08-2021
Ivory Coast,51198,341,49917,940,08-08-2021
Angola,43592,1044,40079,2469,08-08-2021
Madagascar,42688,944,41184,560,08-08-2021
Réunion,40245,288,35563,4394,08-08-2021
Trinidad and Tobago,40104,1129,33009,5966,08-08-2021
Sudan,37138,2776,30867,3495,08-08-2021
Fiji,36979,299,12384,24296,08-08-2021
Australia,36335,940,30462,4933,08-08-2021
Malta,34846,426,33079,1341,08-08-2021
Cape Verde,34010,298,33264,448,08-08-2021
French Guiana,30875,193,9995,20687,08-08-2021
Eswatini,30787,844,23093,6850,08-08-2021
Mauritania,28197,605,23818,3774,08-08-2021
Guinea,26847,257,24739,1851,08-08-2021
Syria,26081,1919,22043,2119,08-08-2021
Suriname,25917,662,22162,3093,08-08-2021
Gabon,25462,165,25248,49,08-08-2021
Guadeloupe,23821,247,2250,21324,08-08-2021
Martinique,23029,129,104,22796,08-08-2021
Guyana,22932,556,21570,806,08-08-2021
French Polynesia,22459,157,19825,2477,08-08-2021
Haiti,20389,569,15110,4710,08-08-2021
Mayotte,19531,174,2964,16393,08-08-2021
Seychelles,18582,94,17992,496,08-08-2021
Papua New Guinea,17774,192,17384,198,08-08-2021
Togo,16728,157,14857,1714,08-08-2021
Somalia,15788,847,7729,7212,08-08-2021
Taiwan,15782,809,14320,653,08-08-2021
Tajikistan,15583,122,15119,342,08-08-2021
Bahamas,15419,295,12824,2300,08-08-2021
Andorra,14836,128,14444,264,08-08-2021
Mali,14642,534,13991,117,08-08-2021
Belize,14438,339,13622,477,08-08-2021
Curaçao,14055,131,13347,577,08-08-2021
Burkina Faso,13621,169,13391,61,08-08-2021
Lesotho,13603,377,6664,6562,08-08-2021
Congo,13216,178,12421,617,08-08-2021
Aruba,12371,111,11468,792,08-08-2021
Hong Kong,12014,212,11725,77,08-08-2021
Djibouti,11659,156,11496,7,08-08-2021
Timor-Leste,11529,27,10127,1375,08-08-2021
South Sudan,11100,120,10514,466,08-08-2021
Nicaragua,9853,196,4225,5432,08-08-2021
Channel Islands,9599,91,8697,811,08-08-2021
Equatorial Guinea,8951,123,8757,71,08-08-2021
Iceland,8793,30,7383,1380,08-08-2021
Benin,8608,110,8136,362,08-08-2021
Gambia,8603,242,7536,825,08-08-2021
Laos,8392,8,4090,4294,08-08-2021
Burundi,8088,38,773,7277,08-08-2021
Yemen,7165,1386,4342,1437,08-08-2021
CAR,7151,98,6859,194,08-08-2021
Eritrea,6576,35,6487,54,08-08-2021
Sierra Leone,6315,121,4310,1884,08-08-2021
Saint Lucia,5779,90,5427,262,08-08-2021
Niger,5682,196,5361,125,08-08-2021
Liberia,5459,148,2715,2596,08-08-2021
Isle of Man,5427,33,4465,929,08-08-2021
San Marino,5147,90,5009,48,08-08-2021
Gibraltar,5127,95,4792,240,08-08-2021
Chad,4977,174,4796,7,08-08-2021
Guinea-Bissau,4764,79,4135,550,08-08-2021
Mauritius,4592,20,1854,2718,08-08-2021
Barbados,4464,48,4315,101,08-08-2021
Comoros,4031,147,3875,9,08-08-2021
Liechtenstein,3101,59,3022,20,08-08-2021
Monaco,2973,33,2790,150,08-08-2021
Sint Maarten,2950,34,2706,210,08-08-2021
New Zealand,2886,26,2828,32,08-08-2021
Saint Martin,2713,39,1399,1275,08-08-2021
Bermuda,2614,33,2510,71,08-08-2021
Bhutan,2544,2,2479,63,08-08-2021
Turks and Caicos,2514,18,2439,57,08-08-2021
British Virgin Islands,2500,31,1914,555,08-08-2021
Sao Tome and Principe,2470,37,2372,61,08-08-2021
St. Vincent Grenadines,2298,12,2233,53,08-08-2021
Caribbean Netherlands,1720,17,1673,30,08-08-2021
St. Barth,1336,2,462,872,08-08-2021
Antigua and Barbuda,1328,43,1246,39,08-08-2021
Tanzania,1017,21,183,813,08-08-2021
Faeroe Islands,987,2,963,22,08-08-2021
Diamond Princess,712,13,699,0,08-08-2021
Cayman Islands,646,2,639,5,08-08-2021
Saint Kitts and Nevis,614,3,558,53,08-08-2021
Wallis and Futuna,445,7,438,0,08-08-2021
Dominica,367,0,209,158,08-08-2021
Brunei,347,3,294,50,08-08-2021
Greenland,175,0,111,64,08-08-2021
Grenada,164,1,161,2,08-08-2021
New Caledonia,134,0,58,76,08-08-2021
Anguilla,113,0,111,2,08-08-2021
Falkland Islands,66,0,63,3,08-08-2021
Macao,63,0,57,6,08-08-2021
Saint Pierre Miquelon,28,0,26,2,08-08-2021
Vatican City,27,0,27,0,08-08-2021
Montserrat,22,1,20,1,08-08-2021
Solomon Islands,20,0,20,0,08-08-2021
Western Sahara,10,1,8,1,08-08-2021
MS Zaandam,9,2,7,0,08-08-2021
Vanuatu,4,1,3,0,08-08-2021
Marshall Islands,4,0,4,0,08-08-2021
Samoa,3,0,3,0,08-08-2021
Saint Helena,2,0,2,0,08-08-2021
Micronesia,1,0,1,0,08-08-2021
China,93701,4636,87558,1507,08-08-2021
